model,AUC,Brier,LogLoss
Baseline logit (dist+angle),0.7437035692814862,0.0785113217489892,0.2784442872261323
StatsBomb xG (benchmark),0.8117070236113313,0.0706738670757064,0.2502260743121247
Enhanced logit (context),0.7839282823978648,0.074438481858007,0.2632004003522969
Random Forest,0.788005060514772,0.074573081471672,0.2629033635283593
XGBoost,0.7902587774496591,0.07406394928693771,0.2611331783278762
