,coef (log-odds),odds_ratio,OR_low,OR_high,p_value
const,-1.5802366672318422,0.20592635641658247,0.16219905052677097,0.26144212391681226,1.6822848429944298e-38
distance,-0.07803107614627976,0.9249356826603433,0.9163841648449269,0.9335670015676519,6.518173814298644e-61
angle_deg,0.020908218113039334,1.0211283262518356,1.0176938901700419,1.0245743526077913,4.862850895770646e-34
